"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
21812,16569,86273.8,10637,8548,81552.3,0.82,1071.56,2316.41,57113.7,56.4,4347,2.8,3528.86,0.326292
18930.1,12518,99105.5,18985.5,13914,89423,7.38,1415.13,2782.96,69612.2,49.82,7979.4,-14.56,0,0.327359
21561.4,13644,103566,13697.3,10225,87791.2,15.58,1238.83,2613.97,59856.4,31.96,2966.4,-26.32,0,0.327359
39361.7,18097,142543,26499.9,13977,124254,54.94,2444.55,5497.12,86248.3,108.1,11745,-12.32,0,0.327359
17915.8,9133,128559,34256.3,21808,102945,21.32,3823.13,9589.86,73292.3,62.98,7781.4,1.68,2293.76,0.327359
23331.7,9986,153121,31335.5,14754,139190,41.82,1716.56,4293.12,104051,92.12,8511.3,21.84,31115.4,0.329491
19364.8,13439,94433.5,14773.1,11439,84637.7,10.66,2016.7,4463.4,67259.9,71.44,3070.8,1.68,3238.25,0.329491
30261,13346,148598,23631.6,9490,163195,40.18,5107.11,12240.8,103592,181.42,24234.3,12.88,18350.1,0.329491
29901.9,16192,121026,31937.4,14208,147315,9.02,2383.06,5617.52,80137.1,125.96,11655,-1.12,0,0.330558
17808,12099,96459.6,16571.4,11699,92830.3,10.66,978.25,2491.85,68015.8,54.52,5856.3,-9.52,0,0.331624
38383.1,20153,124819,33175.6,22676,95880.8,28.7,4216.58,9960.09,68486.5,110.92,8614.8,-3.92,0,0.331624
25782.4,15103,111877,19720.2,14754,87595.4,18.86,1952.63,4168.85,74586.3,109.98,3321,-6.16,0,0.33269
18592.7,10131,120274,32238.3,21411,98676.8,20.5,277.35,537.07,57795.4,69.56,2985.3,12.88,17959.7,0.33269
47012,30058,102501,33867.6,19610,113185,31.16,2695.67,7249.37,73204.1,141,7957.8,13.44,16014.6,0.33269
16872.8,11303,97830.3,12537,10263,80056.9,3.28,800.23,1982.3,67981.2,65.8,7961.4,1.68,1866.11,0.333756
62763.4,36227,113541,44368.6,23007,126385,39.36,8342,19221,74682.4,219.96,15524.1,18.48,19223.9,0.333756
14740.6,7786,124074,22364.7,16099,91042.4,18.04,1177.34,3171.68,66451.2,81.78,4540.5,16.24,19351,0.333756
